"","model_S$FREQUENCY","V2","V3"
"356",2,39.23,-94.31
"357",2,39.29,-74.63
"358",2,39.45,-75.2
"359",2,39.03,-74.88
"360",2,39.37,-74.44
"361",2,39.46,-75.54
"362",2,39.49,-75.03
"363",2,38.99,-84.3
"364",2,39.46,-84.38
"365",2,39.11,-84.8
"366",2,39.61,-84.29
"367",2,38.64,-83.69
"368",2,39.6,-84.2
"369",2,39.59,-81.68
"370",2,38.91,-82.13
"371",2,39.41,-84.55
"372",2,39.43,-84.21
"373",2,38.94,-88.28
"374",2,38.82,-77.04
"375",2,38.68,-78.5
"376",2,38.57,-78.59
"377",2,38.54,-77.28
"378",2,38.97,-81.92
"379",2,39.49,-79.64
"380",2,39.38,-80.33
"381",2,39.53,-80.11
"382",2,39.37,-81.3
"383",2,39.2,-79.26
"384",2,38.8,-76.07
"385",2,38.65,-82.86
"386",2,39.38,-74.97
"387",2,39.37,-81.29
"388",2,38.92,-81.91
"389",2,38.91,-84.85
"390",2,38.87,-84.23
"391",2,38.69,-83.48
"392",2,38.7,-83.82
"393",2,39.17,-94.7
"394",2,39.45,-94.98
"395",2,39.29,-96.12
"396",2,38.58,-85.41
"397",2,38.86,-94.3
"398",2,39.47,-75.54
"399",2,39.52,-91.64
"400",2,39.3,-94.69
"401",2,38.76,-91.78
"402",2,39.07,-87.51
"403",2,39.45,-90.61
"404",2,38.98,-81.93
"405",2,66.97,-160.43
"406",2,66.26,-166.07
"407",2,39.49,-77.83
"408",2,39.61,-77.92
"409",2,39.27,-77.78
"410",2,38.52,-81.91
"411",2,39.15,-91.83
"412",2,39.42,-92.48
"413",2,38.56,-92.1
"414",2,39.49,-75.05
"415",2,39.45,-84.46
"416",2,38.81,-94.9
"417",2,39.37,-81.52
"418",2,39.45,-75.06
"419",2,39.15,-75.55
"420",2,39.42,-92.8
"421",2,38.75,-77.46
"422",2,38.75,-77.51
"423",2,38.74,-77.51
"424",2,38.74,-77.51
"425",2,39.26,-79.33
"426",2,39.04,-82.61
"427",2,39.12,-81.74
"428",2,39.35,-84.52
"429",2,38.74,-77.5
"430",2,38.73,-77.51
"431",2,39.41,-84.56
"432",2,39.57,-90.44
"433",2,38.53,-77.77
"434",2,38.54,-77.77
"435",2,39.1,-88.86
"436",2,38.75,-94
"437",2,38.53,-94.9
"438",2,38.79,-94.99
"439",2,38.9,-98.84
"440",2,38.8,-86.45
"441",2,39.28,-75.62
"442",2,39.35,-91.23
"443",2,38.76,-95.19
"444",2,39.61,-97.28
"445",2,38.94,-82.12
"446",2,39.15,-75.55
"447",2,39.56,-80.16
"448",2,39.32,-82.97
"449",2,38.97,-95.24
"450",2,38.6,-90.21
"451",2,39.21,-76.47
"452",2,39.27,-76.63
"453",2,39.6,-78.75
"454",2,38.63,-75.63
"455",2,38.82,-76.77
"456",2,39.41,-84.56
"457",2,39.47,-79.06
"458",2,39.18,-84.5
"459",2,38.66,-90.12
"460",2,39.2,-77.45
"461",2,38.7,-77.24
"462",2,38.8,-77.13
"463",2,38.95,-92.33
"464",2,38.69,-77.24
"465",2,39.59,-75.63
"466",2,39.6,-89.3
"467",2,38.69,-77.24
"468",2,39.27,-76.6
"469",2,38.67,-76.87
"470",2,38.63,-90.19
"471",2,39.4,-76.32
"472",2,39.45,-84.46
"473",2,39.07,-87.02
"474",2,38.64,-77.42
"475",2,38.79,-94.3
"476",2,38.76,-89.01
"477",2,38.67,-87.29
"478",2,39.31,-91.54
"479",2,39.28,-88.48
"480",2,39.22,-88.76
"481",2,39.33,-81.36
"482",2,39.39,-87.51
"483",2,39.58,-81.66
"484",2,39.08,-82.33
"485",2,38.7,-88.54
"486",2,39.02,-92.26
"487",2,39.09,-84.87
"488",2,39.53,-81.72
"489",2,38.57,-82.78
"490",2,38.83,-90.02
"491",2,39.19,-77.12
"492",2,38.97,-78.18
"493",2,38.85,-76.79
"494",2,39.18,-79.54
"495",2,38.99,-76.94
"496",2,39.41,-76.77
"497",2,38.67,-88.49
"498",2,39.28,-76.6
"499",2,39.31,-87.99
"500",2,38.74,-89.68
"501",2,38.67,-88.46
"502",2,38.68,-94.48
"503",2,39.3,-96.57
"504",2,38.86,-84.66
"505",2,39.38,-74.45
"506",2,38.64,-90.18
"507",2,38.68,-77.78
"508",2,38.73,-84.41
"509",2,38.76,-77.62
"510",2,39.62,-90.85
"511",2,38.59,-75.45
"512",2,39.04,-75.72
"513",2,39.59,-89.27
"514",2,39.25,-91.64
"515",2,38.89,-98.12
"516",2,38.75,-77.5
"517",2,39.2,-79.22
"518",2,38.93,-99.36
"519",2,39.57,-89.37
"520",2,39.39,-76.39
"521",2,39,-77.1
"522",2,39.44,-97.66
"523",2,38.5,-101.13
"524",2,38.57,-76.89
"525",2,38.6,-82.83
"526",2,38.79,-84.17
"527",2,39.45,-75.1
"528",2,38.55,-92.04
"529",2,39.36,-74.44
"530",2,38.58,-83.72
"531",2,38.87,-98.26
"532",2,39.17,-95.73
"533",2,67.57,-162.97
"534",2,67.73,-164.54
"535",2,38.7,-90.13
"536",2,39.46,-75.07
"537",2,39.44,-87.2
"538",2,38.68,-85.79
"539",2,38.78,-75.16
"540",2,39.27,-79.45
"541",2,39.27,-79.45
"542",2,39.4,-79.29
"543",2,38.99,-75.44
"544",2,39.18,-75.5
"545",2,39.19,-75.5
"546",2,39.36,-81.32
"547",2,39.02,-79.94
"548",2,39.61,-75.31
"549",2,39.43,-79.05
"550",2,39.58,-86.48
"551",2,39.48,-76.23
"552",2,39.42,-74.97
"553",2,39.49,-75.22
"554",2,38.84,-98.3
"555",2,39.49,-75.04
"556",2,39.46,-75.07
"557",2,39.51,-75
"558",2,38.91,-76.87
"559",2,39.49,-74.98
"560",2,39.14,-78.1
"561",2,38.76,-75.6
"562",2,39.37,-77.35
"563",2,38.89,-77.03
"564",2,39.47,-84.4
"565",2,39.53,-87.43
"566",2,39.59,-75.37
"567",2,39.42,-74.54
"568",2,39.42,-74.64
"569",2,39.49,-74.54
"570",2,39.13,-84.51
"571",2,39.14,-84.5
"572",2,38.82,-90.82
"573",2,39.52,-84.41
"574",2,38.59,-77.17
"575",2,39.38,-75.19
"576",2,39.04,-84.4
"577",2,39.56,-76.06
"578",2,39.02,-76.93
"579",2,39.45,-84.48
"580",2,39.57,-79.14
"581",2,39.11,-94.58
"582",2,39.04,-76.98
"583",2,38.92,-75.45
"584",2,39.42,-75.02
"585",2,39.3,-75.98
"586",2,39.15,-76.23
"587",2,39.28,-76.09
"588",2,39.09,-76.67
"589",2,39.31,-76.9
"590",2,39.5,-75.02
"591",2,39.52,-75.03
"592",2,39.56,-77.73
"593",2,38.72,-93.28
"594",2,39.61,-75.63
"595",2,39.36,-74.41
"596",2,38.55,-76.8
"597",2,38.66,-75.4
"598",2,39.44,-75.04
"599",2,39.03,-76.02
"600",2,39,-99.41
"601",2,39.44,-74.69
"602",2,39.38,-75.03
"603",2,39.36,-77.42
"604",2,39.42,-74.54
"605",2,39.06,-77.54
"606",2,38.81,-77.03
"607",2,39.29,-76.5
"608",2,39.23,-74.78
"609",2,39.32,-79.39
"610",2,39.06,-87.51
"611",2,39.11,-76.77
"612",2,39.47,-84.35
"613",2,39.44,-80.25
"614",2,39.41,-101.04
"615",2,38.69,-76.84
"616",2,38.55,-77.78
"617",2,38.63,-90.25
"618",2,39.29,-76.96
"619",2,39.04,-94.57
"620",2,38.59,-76.88
"621",2,39.37,-76.44
"622",2,38.52,-76.02
"623",2,39.13,-78.19
"624",2,39.59,-78.75
"625",2,38.91,-86.95
"626",2,39.25,-86.66
"627",2,38.6,-85.78
"628",2,38.71,-86.47
"629",2,39.34,-85.51
"630",2,39.25,-76.74
"631",2,38.69,-99.72
"632",2,39.6,-75.84
"633",2,39.2,-76.08
"634",2,39.2,-79.14
"635",2,39.29,-80.32
"636",2,39.62,-77.71
"637",2,38.77,-75.14
"638",2,39.59,-87.47
"639",2,39.52,-87.18
"640",2,38.65,-87.21
"641",2,39.5,-74.96
"642",2,39.3,-83.96
"643",2,38.7,-76.83
"644",2,38.74,-82.93
"645",2,39.13,-87.41
"646",2,39.44,-76.52
"647",2,39.47,-76.2
"648",2,38.95,-76.08
"649",2,38.77,-76.14
"650",2,38.94,-76.05
"651",2,39.29,-84.68
"652",2,39.45,-76.22
"653",2,39.45,-76.22
"654",2,39.44,-76.22
"655",2,39.44,-76.22
"656",2,39.44,-76.22
"657",2,39.44,-76.22
"658",2,39.44,-76.22
"659",2,39.44,-76.22
"660",2,38.99,-76.57
"661",2,39.09,-93.21
"662",2,39.44,-76.23
"663",2,39.11,-75.96
"664",2,39.54,-75.18
"665",2,38.5,-94.95
"666",2,38.5,-94.96
"667",2,38.98,-74.91
"668",2,39.41,-74.53
"669",2,39.46,-74.68
"670",2,39.24,-77.29
"671",2,39.5,-79.39
"672",2,38.93,-78.18
"673",2,39.12,-94.29
"674",2,38.9,-83.9
"675",2,39.43,-76.39
"676",2,38.72,-75.29
"677",2,39.62,-86.21
"678",2,39.59,-86.19
"679",2,39.4,-76.3
"680",2,38.75,-84.61
